title,popularity,year
The Empire Strikes Back,19.470959,1980
Maleficent,19.467404,2014
No manches Frida,19.454717,2016
The Runaways,19.42051,2010
Fantastic Four,19.382082,2005
E.T. the Extra-Terrestrial,19.358546,1982
Trainspotting,19.348466,1996
Up,19.330884,2009
Captain America: The First Avenger,19.323582,2011
Bandidas,19.294832,2006
The Terminator,19.293562,1984
Real Steel,19.265552,2011
Mr. Holmes,19.256859,2015
Dawn of the Dead,19.24201,1978
Vice,19.236571,2015
American Sniper,19.228561,2014
The Bye Bye Man,19.225832,2017
The Adventures of Tintin,19.201504,2011
Cars 3,19.148182,2017
xXx: State of the Union,19.144611,2005
Jason Bourne,19.133256,2016
The Incredible Hulk,19.125537,2008
Batman,19.10673,1989
Zodiac,19.083823,2007
Harry Potter and the Half-Blood Prince,19.083723,2009
Iron Man 2,19.083344,2010
Mission: Impossible II,18.97178,2000
The Hills Have Eyes,18.960549,2006
Undisputed II: Last Man Standing,18.957084,2006
High-Rise,18.947206,2015
National Treasure,18.932203,2004
The Perfect Storm,18.911961,2000
Nocturnal Animals,18.908782,2016
Cars,18.907948,2006
Blade: Trinity,18.860681,2004
9 Songs,18.847707,2004
Sister Act,18.83065,1992
Die Hard 2,18.785984,1990
The BFG,18.769476,2016
Apollo 13,18.761467,1995
Snow White and the Huntsman,18.751554,2012
Captain America: The Winter Soldier,18.717704,2014
Once Upon a Time in Venice,18.699821,2017
Sherlock Holmes: A Game of Shadows,18.695329,2011
The Scorpion King: Rise of a Warrior,18.691187,2008
Chicken Little,18.584609,2005
"I, Daniel Blake",18.577504,2016
The Da Vinci Code,18.566706,2006
The Pink Panther 2,18.54675,2009
French Connection II,18.54199,1975
Man of Steel,18.538834,2013
The Departed,18.515448,2006
9,18.502877,2009
Gravity,18.50194,2013
Predator,18.495694,1987
Transformers: Age of Extinction,18.495599,2014
We're the Millers,18.474368,2013
Brimstone,18.473022,2017
Lilo & Stitch,18.469238,2002
Prince of Persia: The Sands of Time,18.459955,2010
Se7en,18.45743,1995
Passenger 57,18.451321,1992
The Sixth Sense,18.449169,1999
Carrie,18.399055,2013
Allegiant,18.386172,2016
American Pie,18.344227,1999
Six Days Seven Nights,18.324219,1998
Inferno,18.311054,2016
Donnie Darko,18.303148,2001
Sully,18.275689,2016
Need for Speed,18.271383,2014
The Punisher,18.250919,2004
On the Waterfront,18.211093,1954
Vertigo,18.20822,1958
Platoon,18.206972,1986
Birdman,18.193263,2014
Spy Game,18.186839,2001
Mulholland Drive,18.184056,2001
The Bourne Ultimatum,18.173269,2007
American History X,18.157166,1998
Flying Swords of Dragon Gate,18.147447,2011
Annie Hall,18.146043,1977
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18.13542,2005
300,18.108408,2006
Taken 3,18.081483,2014
3:10 to Yuma,18.079094,2007
13 Hours: The Secret Soldiers of Benghazi,18.022579,2016
Disturbia,18.006896,2007
Shark Tale,17.999273,2004
