actor,return
Harvey Korman,11.380700845447278
Tony Amendola,11.344385487019071
Lin Shaye,11.335939942315509
Michael Beattie,11.259624341383526
Viktor Verzhbitskiy,11.257899718253968
Olivia Newton-John,11.250783696495134
Katharine Hepburn,11.217948759615386
Denver Pyle,11.195555541666668
Brad Sullivan,11.193454674545455
John Kapelos,11.139296700996079
Welker White,11.13897520060606
Freida Pinto,11.137156053333333
Juan Fernández,11.13279280864959
Mikhail Galustyan,11.1061115
Carrie Fisher,11.082720274363579
Roy Scheider,11.053113262716959
Jack Kehoe,11.048443704242423
Courtney Gains,10.981955360867447
Belinda Balaski,10.910727592121212
James Best,10.875
Robert Portal,10.8415036057971
Harley Jane Kozak,10.823590921173308
John Schuck,10.81494708994709
Betsy Russell,10.77517756969697
Tony Plana,10.773261630873016
Betty Buckley,10.709966722063493
Ryunosuke Kamiki,10.680762878003003
Bess Flowers,10.671841417756124
Elizabeth Kaitan,10.643694064285715
Alejandro Cuello,10.642993574820894
Daniel Spink,10.63405829268648
Andrea Martin,10.628422201161056
De'Aundre Bonds,10.624002698412697
Louis Herthum,10.621921596367521
Mariska Hargitay,10.604056419044205
Tony Ganios,10.583672923168498
Dev Patel,10.570221745623583
Frances Lee McCain,10.5522168245872
Kiran Shah,10.517530380321812
Polly Holliday,10.50085498899287
Tom Hulce,10.500492562233115
Nancy Parsons,10.495085981934732
Bill Clinton,10.490013064814814
Dan Monahan,10.485809349358973
Whit Bissell,10.461957550000001
John Albasiny,10.457341851307573
Duane Whitaker,10.456397683333334
Tutte Lemkow,10.450634255555554
Natasha Lyonne,10.424123161687646
Emily Alyn Lind,10.417333714749535
Ron Dean,10.414926967760477
Michael Welch,10.388507637166136
Priyanka Chopra,10.38389259301671
Humphrey Bogart,10.353505928392034
Jennifer Grey,10.319110944362341
Lars Hensen,10.313947342364532
Lynn Redgrave,10.302144913000001
Floyd Levine,10.298290070734126
Earl Cameron,10.273484416003788
David Huddleston,10.248565418529914
Norman Alden,10.23491939766082
Priscilla Pointer,10.22717135925926
Ty Simpkins,10.226822118168498
Ian McDiarmid,10.20432601451188
Teri Garr,10.203740142185593
Richard Bright,10.190759667699325
Elsa Raven,10.181167028421054
Robert Rietty,10.1589870239588
Jeremy Irvine,10.143801420875421
Dorothy Adams,10.130952380952381
Mahesh Manjrekar,10.116146611371237
Hal Smith,10.10805201447619
Dick Anthony Williams,10.063611618518518
Tim Curry,10.053318831696243
Helen Hayes,10.0489151
Paul Sanchez,10.034853219345239
Maggie Cheung,10.029234195937873
Frank Harper,10.027590755722514
Soon-Tek Oh,10.020758594312719
Kirstie Alley,10.00559880809524
Kevin Bacon,9.988528882315723
Maggie Smith,9.9788633032357
Rosemary Howard,9.933126555936507
James Earl Jones,9.909013341035529
David Warner,9.88504812506676
James Conaty,9.8375
Marisa Paredes,9.83738560128893
Niall Buggy,9.829073896153846
Alexis Arquette,9.804484313333333
Peter Greene,9.795546856878484
Buckley Norris,9.77585625
Chris Renaud,9.748296295296393
Ralph Seymour,9.731810341088435
Paul L. Smith,9.730917874396136
Anthony Michael Hall,9.722360483446634
Jack Nance,9.709939837236842
John Sayles,9.7013275
Jack Albertson,9.697978466666667
Tyson Houseman,9.692472776399576
Ashley Greene,9.692472776399576
Meshach Taylor,9.668616807189542
Charles Durning,9.668324292878474
Billy Dee Williams,9.662748997590588
Sid Caesar,9.63944403571889
Ben Stein,9.638918301423814
Amber Smith,9.610611184920634
Glenn Plummer,9.604977827272817
Kieran Culkin,9.597685314021163
Nora Zehetner,9.585119833333334
Arija Bareikis,9.581893560690943
John Ashton,9.577429092326469
Donald Hotton,9.576447537407978
Leslie Lyles,9.572448291307067
"Larry ""Flash"" Jenkins",9.570502916666666
Donnie Wahlberg,9.54830633248869
Mary McDonnell,9.544048414599567
Walter Gotell,9.520968201535853
Adrian Rawlins,9.492026728935897
Sterling Jerins,9.483028525982906
Vincent Schiavelli,9.482426151067074
Graham Greene,9.477180052853535
Charlie Bewley,9.462775936715685
Chaske Spencer,9.462775936715685
Paul Stewart,9.445617345653545
Edward G. Robinson,9.438461538461539
H.B. Warner,9.438461538461539
Holly Marie Combs,9.434265759103642
Stephen Dunham,9.40319990834973
George Buck Flower,9.401928804192298
Gena Rowlands,9.395042035409427
Leo McKern,9.385452800064641
Doug McGrath,9.361180303767403
Reginald Owen,9.328365785714286
Sheila Allen,9.323609735595237
Macaulay Culkin,9.311730205751635
Joseph Cotten,9.302128144193144
Jason Mewes,9.30148326881663
Adam Rodríguez,9.289731478474904
Marlon Brando,9.266712448217076
Elizabeth Reaser,9.23717058594418
Ron Donachie,9.22517094
Lyman Ward,9.184081705833332
Michael Nouri,9.170813298401164
Fred Williamson,9.170640036340851
Ricardo Darín,9.120872575607443
Sarah Clarke,9.119160436221515
Erik Knudsen,9.115442690392157
Roy Jenson,9.082107630261117
Justin Chon,9.050277986655987
Teresa Palmer,9.049222990127552
Steve Reevis,9.047092391472917
Tom Towles,9.02104437936508
Roberts Blossom,9.016692279564149
Juliet Stevenson,9.0116596222003
Timothy Bottoms,8.987929328888889
Lawrence Pressman,8.984575553679655
Steve Coulter,8.981731366640073
Glynis Johns,8.94865434291444
Ronny Cox,8.931392718315019
Sally Kellerman,8.926975068650792
James Martin Kelly,8.912550906571429
Angus Macfadyen,8.910312071666667
Noble Willingham,8.89909809611703
Marilyn Manson,8.89111825
Tony Bentley,8.889900887366707
Ellen Corby,8.873244934872282
Konstantin Khabenskiy,8.86165783047619
Neil Ross,8.846777888888889
Bruce Cabot,8.842627271825398
Don Stroud,8.834527527442308
Billy West,8.834344942711478
Lillete Dubey,8.821858594968553
J.J. Cohen,8.815331562828948
Ray Walston,8.809139441966368
Angus MacInnes,8.80459986726146
Harry Tenbrook,8.8
James Millican,8.8
Byron Foulger,8.8
John Rhys-Davies,8.794539860432504
Hayden Rorke,8.78048780487805
Erin Darke,8.7769304
Sam Bottoms,8.742842058098809
Sofia Coppola,8.741092945599117
Randal Reeder,8.73514670689655
Debbi Morgan,8.730667789615385
Simon Callow,8.722968967118707
Sebastian Koch,8.72244793095238
Stephen Bishop,8.718581200687753
Leo White,8.708143507972665
Valeria Golino,8.701246142051282
Billie Whitelaw,8.694455427380952
Mackenzie Foy,8.692071897788463
Aamir Khan,8.687386145092853
Fred Gwynne,8.677582657396302
Rupert Vansittart,8.672349014343226
Connie Sawyer,8.670834959814815
Marilyn Monroe,8.668972844615944
Cameron Bright,8.651450490571237
Drew Snyder,8.649619686190476
James Logan,8.646630074692307
Zach Gilford,8.645918285714286
Julian Glover,8.640418990882937
Strother Martin,8.628659087301587
Farida Jalal,8.625689016865488
