director,return
Louis Leterrier,1.5893945119665531
Paul Thomas Anderson,1.5649848923648648
Terrence Malick,1.5378286631410256
Robert Redford,1.5083221647321428
Gavin Hood,1.4917748968181817
Peter Hyams,1.4904615757225528
Howard Deutch,1.4318515027777778
Daniel Petrie,1.4299953714285714
Frank Oz,1.3871750501400562
Michael Hoffman,1.381777423076923
Neil LaBute,1.272796005297619
Les Mayfield,1.236021122870879
Gary Goldman,1.2290957420417203
Michael Caton-Jones,1.2241658336309524
Mark Rydell,1.2118853472222222
John Dahl,1.2101354370772948
Carl Franklin,1.0754446686772487
Luis Mandoki,1.0231887792452832
Brian Robbins,0.9974284515972222
Roland Joffé,0.9660039863652683
Mira Nair,0.88797009375
Charles Shyer,0.7999357916666667
Andrei Konchalovsky,0.666325051010101
Michael Lehmann,0.26489353846153846
Costa-Gavras,0.21083046
