title,vote_average,vote_count,year
The Mask,6.6,2550.0,1994
RED,6.6,2858.0,2010
Rango,6.6,2094.0,2011
Thor,6.6,6678.0,2011
Madagascar,6.6,3322.0,2005
Super 8,6.6,2496.0,2011
Captain America: The First Avenger,6.6,7174.0,2011
Real Steel,6.6,2749.0,2011
Star Trek Beyond,6.6,2636.0,2016
King Kong,6.6,2403.0,2005
Transformers,6.6,4113.0,2007
Chappie,6.6,3124.0,2015
The Hunger Games: Mockingjay - Part 1,6.6,5767.0,2014
Cars,6.6,3991.0,2006
Looper,6.6,4777.0,2012
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2814.0,2017
Cloud Atlas,6.6,3031.0,2012
Armageddon,6.5,2540.0,1998
Jurassic World,6.5,8842.0,2015
Miss Peregrine's Home for Peculiar Children,6.5,3213.0,2016
Maze Runner: The Scorch Trials,6.5,3148.0,2015
Ice Age: The Meltdown,6.5,3034.0,2006
Mission: Impossible III,6.5,2062.0,2006
The Amazing Spider-Man 2,6.5,4274.0,2014
Mr. & Mrs. Smith,6.5,3048.0,2005
The Da Vinci Code,6.5,2773.0,2006
Hellboy,6.5,2278.0,2004
Ocean's Thirteen,6.5,2040.0,2007
Ice Age: Dawn of the Dinosaurs,6.5,2330.0,2009
Rio,6.5,2213.0,2011
Angels & Demons,6.5,2183.0,2009
Flight,6.5,2449.0,2012
Fast & Furious,6.5,2426.0,2009
The Amazing Spider-Man,6.5,6734.0,2012
Friends with Benefits,6.5,2306.0,2011
Man of Steel,6.5,6462.0,2013
American Pie,6.4,2358.0,1999
Elysium,6.4,3510.0,2013
Warm Bodies,6.4,2698.0,2013
Pirates of the Caribbean: On Stranger Tides,6.4,5068.0,2011
Wanted,6.4,2583.0,2008
Bruce Almighty,6.4,3121.0,2003
Oblivion,6.4,4862.0,2013
Resident Evil,6.4,2100.0,2002
Star Wars: Episode II - Attack of the Clones,6.4,4074.0,2002
Ocean's Twelve,6.4,2169.0,2004
Minions,6.4,4729.0,2015
Alice in Wonderland,6.4,4773.0,2010
Night at the Museum,6.4,2949.0,2006
X-Men: Apocalypse,6.4,4831.0,2016
Star Wars: Episode I - The Phantom Menace,6.4,4526.0,1999
The Matrix Revolutions,6.4,3155.0,2003
Live Free or Die Hard,6.4,2122.0,2007
Horrible Bosses,6.4,2341.0,2011
Cloverfield,6.4,2297.0,2008
Prometheus,6.3,5152.0,2012
Warcraft,6.3,2325.0,2016
The Wolverine,6.3,4110.0,2013
Spectre,6.3,4552.0,2015
Jack Reacher,6.3,3046.0,2012
X-Men: The Last Stand,6.3,3581.0,2006
Ted,6.3,4811.0,2012
Lucy,6.3,6048.0,2014
Kick-Ass 2,6.3,2275.0,2013
Home Alone 2: Lost in New York,6.3,2459.0,1992
TRON: Legacy,6.3,2895.0,2010
Men in Black 3,6.3,4228.0,2012
2 Fast 2 Furious,6.2,2087.0,2003
The Day After Tomorrow,6.2,2462.0,2004
War of the Worlds,6.2,2397.0,2005
The 40 Year Old Virgin,6.2,2020.0,2005
Insurgent,6.2,3921.0,2015
Ice Age: Continental Drift,6.2,2731.0,2012
Ted 2,6.2,2524.0,2015
Hancock,6.2,3050.0,2008
Tomorrowland,6.2,2904.0,2015
Olympus Has Fallen,6.2,3010.0,2013
Kong: Skull Island,6.2,3161.0,2017
Prince of Persia: The Sands of Time,6.2,2372.0,2010
X-Men Origins: Wolverine,6.2,4086.0,2009
Salt,6.2,2125.0,2010
Neighbors,6.2,2773.0,2014
This Is the End,6.2,2394.0,2013
Dracula Untold,6.2,2439.0,2014
Riddick,6.2,2066.0,2013
The Lost World: Jurassic Park,6.2,2528.0,1997
The Hangover Part II,6.2,3836.0,2011
Despicable Me 3,6.2,2002.0,2017
Men in Black II,6.1,3188.0,2002
The Boss Baby,6.1,2336.0,2017
300: Rise of an Empire,6.1,2438.0,2014
Godzilla,6.1,3232.0,2014
John Carter,6.1,2170.0,2012
The Interview,6.1,2340.0,2014
The Expendables 2,6.1,2940.0,2012
Transformers: Dark of the Moon,6.1,3351.0,2011
Quantum of Solace,6.1,3015.0,2008
The Incredible Hulk,6.1,3086.0,2008
Taken 2,6.1,2783.0,2012
The Twilight Saga: Breaking Dawn - Part 2,6.1,2641.0,2012
Taken 3,6.1,2225.0,2014
Percy Jackson & the Olympians: The Lightning Thief,6.0,2079.0,2010
The Expendables,6.0,2977.0,2010
Fifty Shades Darker,6.0,2341.0,2017
Shrek Forever After,6.0,2021.0,2010
Transformers: Revenge of the Fallen,6.0,3192.0,2009
The Purge,6.0,2498.0,2013
Click,6.0,2167.0,2006
The Bourne Legacy,6.0,2683.0,2012
San Andreas,6.0,3017.0,2015
Shrek the Third,6.0,2355.0,2007
The Mummy Returns,6.0,2258.0,2001
The Hangover Part III,6.0,2991.0,2013
Allegiant,5.9,2064.0,2016
Jason Bourne,5.9,2386.0,2016
Terminator Salvation,5.9,2496.0,2009
Ghost in the Shell,5.9,2547.0,2017
Transcendence,5.9,2339.0,2014
The Twilight Saga: Eclipse,5.9,2382.0,2010
The Magnificent Seven,5.9,2358.0,2016
Spider-Man 3,5.9,3687.0,2007
Night at the Museum: Battle of the Smithsonian,5.9,2026.0,2009
The Lone Ranger,5.9,2361.0,2013
Suicide Squad,5.9,7717.0,2016
The Secret Life of Pets,5.9,3536.0,2016
Terminator 3: Rise of the Machines,5.9,2177.0,2003
Teenage Mutant Ninja Turtles,5.8,2677.0,2014
Transformers: Age of Extinction,5.8,3136.0,2014
Terminator Genisys,5.8,3677.0,2015
Total Recall,5.8,2540.0,2012
The Twilight Saga: Breaking Dawn - Part 1,5.8,2622.0,2011
Twilight,5.8,3688.0,2008
Snow White and the Huntsman,5.8,3183.0,2012
Cars 2,5.8,2088.0,2011
Indiana Jones and the Kingdom of the Crystal Skull,5.7,2558.0,2008
Lara Croft: Tomb Raider,5.7,2235.0,2001
RoboCop,5.7,2385.0,2014
Dark Shadows,5.7,2383.0,2012
Inferno,5.7,2316.0,2016
Batman v Superman: Dawn of Justice,5.7,7189.0,2016
Jurassic Park III,5.7,2109.0,2001
Hansel & Gretel: Witch Hunters,5.7,3290.0,2013
Alien: Covenant,5.7,2677.0,2017
Oz: The Great and Powerful,5.7,3576.0,2013
The Twilight Saga: New Moon,5.6,2518.0,2009
Sausage Party,5.6,2310.0,2016
Pixels,5.6,2564.0,2015
Clash of the Titans,5.6,2280.0,2010
2012,5.6,4994.0,2009
Noah,5.5,2408.0,2014
The Legend of Tarzan,5.5,2488.0,2016
Jack the Giant Slayer,5.5,2634.0,2013
Fantastic Four,5.5,3040.0,2005
Battleship,5.5,2141.0,2012
Assassin's Creed,5.4,2776.0,2016
G.I. Joe: Retaliation,5.4,3045.0,2013
Cowboys & Aliens,5.4,2054.0,2011
The Mummy,5.4,2122.0,2017
Fantastic 4: Rise of the Silver Surfer,5.4,2648.0,2007
Ghostbusters,5.3,2203.0,2016
Jupiter Ascending,5.2,2816.0,2015
Fifty Shades of Grey,5.2,3350.0,2015
A Good Day to Die Hard,5.2,3519.0,2013
Green Lantern,5.1,2551.0,2011
After Earth,5.0,2579.0,2013
Independence Day: Resurgence,4.9,2550.0,2016
Fantastic Four,4.4,2322.0,2015
